time,xco2_ppm,xco2_ppm_error,xch4_ppm,xch4_ppm_error
2013-10-06,393.3,0.4942857,1818.5857,0.0020714286
2013-10-07,395.58685,1.0368421,1828.3684,0.0057631577
2013-10-08,395.1389,0.51296294,1827.0741,0.0023148148
2013-10-09,395.73334,0.46666667,1824.3334,0.002
2013-10-10,394.78165,0.34489796,1829.2041,0.0018571429
2013-10-11,395.44696,0.3,1835.9242,0.001
2013-10-12,395.89154,0.35915494,1840.8169,0.0019577465
2013-10-13,395.25714,0.32857144,1841.2968,0.0019670331
2013-10-14,394.99902,0.44653466,1835.297,0.0016336634
2013-10-15,395.0913,0.31014493,1829.6232,0.0012028986
2013-10-16,394.90726,0.4057971,1824.0,0.0019855073
2013-10-17,396.2563,0.54814816,1831.3556,0.0023037037
2013-10-18,395.78928,0.33928573,1838.7858,0.0021666668
2013-10-19,395.15796,0.48985508,1829.1449,0.0020144929
2013-10-20,396.30725,0.6043478,1839.3914,0.002
2013-10-21,397.15738,0.8278689,1841.1803,0.0033278689
2013-10-22,396.3,0.8076923,1831.7885,0.0034615386
2013-10-23,397.31317,0.5131579,1833.8158,0.0026578947
2013-10-24,398.00644,1.1096774,1845.129,0.004387097
2013-10-25,397.12973,0.6081081,1841.4054,0.0021621622
2013-10-26,395.9619,0.46190476,1829.7142,0.0023015875
2013-10-27,397.5099,1.2032967,1829.7472,0.0032417583
2013-10-28,396.27646,1.1882353,1822.1177,0.004294118
2013-10-29,396.5893,1.1964285,1807.3214,0.005107143
2013-10-30,396.65237,0.42698413,1818.0635,0.0012698413
2013-10-31,395.8125,0.5392857,1818.0358,0.002
2013-11-01,395.32727,0.4121212,1815.1515,0.0011363637
2013-11-02,396.02667,0.59000003,1822.5834,0.002
2013-11-03,397.15,0.56111115,1845.6389,0.0029722222
2013-11-04,,,,
2013-11-05,397.26407,0.5171875,1840.25,0.0016562501
2013-11-06,395.10678,0.3423729,1825.5933,0.0015932204
2013-11-07,394.74286,0.6238095,1821.1904,0.002952381
2013-11-08,396.58304,0.3,1830.7203,0.0010338983
2013-11-09,396.7,0.22526316,1830.1685,0.001
2013-11-10,396.22382,0.97380954,1824.7142,0.005047619
2013-11-11,396.09216,0.39019608,1826.4509,0.002
2013-11-12,,,,
2013-11-13,395.13443,0.4704918,1810.7377,0.004065574
2013-11-14,395.75162,0.2467742,1806.5,0.0013548387
2013-11-15,397.5,0.70000005,1832.5,0.003
2013-11-16,,,,
2013-11-17,396.925,1.1,1822.25,0.0047500003
2013-11-18,398.05884,1.3470588,1834.9412,0.005117647
2013-11-19,,,,
2013-11-20,398.4,0.4,1835.0,0.002
2013-11-21,,,,
2013-11-22,,,,
2013-11-23,397.85,0.95,1818.5,0.0045
2013-11-24,398.9033,0.36721313,1834.8032,0.001
2013-11-25,397.81696,0.3,1832.2034,0.001
2013-11-26,396.5077,0.33076924,1816.0385,0.002
2013-11-27,396.81516,1.3606061,1818.7576,0.0060909092
2013-11-28,397.81177,1.1294118,1831.2354,0.005117647
2013-11-29,,,,
2013-11-30,397.3923,0.92115384,1827.7115,0.0039807693
2013-12-01,396.285,0.58000004,1820.5,0.00275
2013-12-02,,,,
2013-12-03,398.33438,1.553125,1831.8438,0.00628125
2013-12-04,398.23782,1.2243243,1833.6487,0.006108108
2013-12-05,398.33334,0.7490196,1826.0588,0.0030392157
2013-12-06,398.58334,0.62,1837.1333,0.0029
2013-12-07,,,,
2013-12-08,398.175,1.175,1835.0,0.003375
2013-12-09,398.8591,0.46136364,1827.1818,0.0020227274
2013-12-10,397.26492,0.49298245,1813.772,0.002
2013-12-11,396.75626,1.6125001,1810.3281,0.00646875
2013-12-12,399.93332,0.7904762,1830.7142,0.002952381
2013-12-13,400.5193,0.55438596,1835.3684,0.002
2013-12-14,397.95,0.5916667,1819.6833,0.002
2013-12-15,396.97223,0.46111113,1814.4445,0.002
2013-12-16,396.26666,1.04,1810.4667,0.0042000003
2013-12-17,397.13684,1.1736842,1810.579,0.0051578945
2013-12-18,402.3,0.9,1849.0,0.004
2013-12-19,,,,
2013-12-20,399.32373,1.3372881,1826.2373,0.0054745763
2013-12-21,399.76,1.3733333,1841.6666,0.0057333335
2013-12-22,398.6155,0.55172414,1827.9828,0.002
2013-12-23,398.4579,0.5842106,1824.772,0.002
2013-12-24,397.35516,0.48448277,1818.6034,0.0015172415
2013-12-25,397.6707,0.5103448,1822.4138,0.002
2013-12-26,397.40167,0.47666666,1817.5667,0.002
2013-12-27,397.50204,0.5367347,1816.7755,0.002
2013-12-28,398.41483,0.40370372,1828.1111,0.0017407408
2013-12-29,398.22983,0.6,1826.2106,0.002157895
2013-12-30,398.25253,0.42372882,1822.8306,0.0011355933
2013-12-31,399.44644,0.50714284,1824.0892,0.002
2014-01-01,399.4254,0.5,1818.5763,0.0020338984
2014-01-02,397.17618,0.4015873,1796.7142,0.0012222222
2014-01-03,399.16956,1.5652174,1817.4348,0.0063913045
2014-01-04,399.3185,0.4185185,1823.1852,0.0022222223
2014-01-05,398.0035,0.78070176,1820.5088,0.0030701754
2014-01-06,397.78183,0.5068182,1812.5227,0.0020454547
2014-01-07,397.84998,0.6,1809.0,0.003
2014-01-08,400.75,0.51666665,1840.1666,0.0023333335
2014-01-09,,,,
2014-01-10,400.39676,0.48387098,1828.7742,0.002
2014-01-11,398.6027,0.5,1819.3784,0.002
2014-01-12,400.75,0.9,1841.0,0.00325
2014-01-13,398.3404,0.4846154,1826.9615,0.004
2014-01-14,399.16217,1.2513514,1829.9459,0.004945946
2014-01-15,398.515,0.44,1822.6333,0.0021333334
2014-01-16,399.11914,0.40212765,1823.9574,0.002
2014-01-17,397.6,0.43272728,1810.4182,0.002
2014-01-18,398.12274,0.57500005,1811.3636,0.002
2014-01-19,397.7,1.5034482,1808.8966,0.0055172415
2014-01-20,397.992,0.46400002,1807.8,0.0021000002
2014-01-21,397.725,0.5,1805.75,0.002
2014-01-22,398.62445,0.40444446,1821.7556,0.002
2014-01-23,400.208,0.86,1831.36,0.0033200001
2014-01-24,401.7,1.2,1840.0,0.005
2014-01-25,398.97333,1.4733334,1817.9333,0.006
2014-01-26,400.63333,1.5,1825.3334,0.0063333334
2014-01-27,401.4625,0.525,1836.825,0.00205
2014-01-28,400.32,1.7533333,1831.2,0.006866667
2014-01-29,401.23334,0.4909091,1829.4546,0.0020303032
2014-01-30,400.13333,0.5,1823.0,0.002
2014-01-31,400.8,0.9,1829.0,0.003
2014-02-01,398.81863,0.47627118,1820.8983,0.002
2014-02-02,398.02,0.64,1814.6,0.003
2014-02-03,398.95218,1.4913044,1818.8695,0.0055
2014-02-04,398.6,0.84444445,1815.8889,0.0033333334
2014-02-05,399.9907,0.5069767,1831.0233,0.0021860467
2014-02-06,400.26,0.5,1831.6,0.003
2014-02-07,,,,
2014-02-08,,,,
2014-02-09,,,,
2014-02-10,400.0625,0.4125,1820.375,0.002
2014-02-11,398.75217,0.4,1810.0869,0.002
2014-02-12,398.57916,0.41458333,1805.4584,0.0020208333
2014-02-13,399.8659,0.38409093,1814.1818,0.002
