,xco2_biascorrected,xco2_uncertainty
2013-05-28 11:23:00.436,396.39774,1.2680532
2013-05-28 11:29:23.029,397.59326,0.93484634
2013-05-28 11:29:27.636,395.61197,0.9306231
2013-05-28 11:29:32.248,395.82568,0.9209345
2013-05-29 10:26:00.837,396.6406,0.9753929
2013-05-29 10:26:05.447,396.89294,0.97292715
2013-05-29 10:26:10.056,397.2775,0.96864516
2013-05-29 10:27:28.419,400.02686,1.0729728
2013-05-29 10:27:33.028,399.33792,1.0593396
2013-05-29 10:38:41.412,394.6611,1.064005
2013-05-29 10:38:50.631,393.7912,1.0775571
2013-05-29 10:39:09.069,393.8887,0.87992114
2013-05-29 10:39:13.678,393.71307,0.88404673
2013-05-29 10:39:18.289,393.39853,0.89190805
2013-05-29 10:39:22.898,392.24048,0.9407593
2013-05-29 10:39:27.508,393.44104,0.96261793
2013-05-29 10:39:32.116,393.86154,0.96259224
2013-05-29 10:40:04.384,393.42184,0.98129624
2013-05-29 10:40:08.993,392.91357,0.9894623
2013-05-29 10:40:13.604,394.66373,1.0154229
2013-05-29 10:40:18.212,394.35208,0.97519565
2013-05-29 10:40:22.823,394.52414,0.98096675
2013-05-29 10:40:27.432,394.68597,0.9823027
2013-05-29 10:40:32.041,394.52832,0.875443
2013-05-29 10:40:36.650,393.3624,0.87892425
2013-05-29 10:40:41.260,394.87973,0.8919506
2013-05-29 10:40:45.869,392.9865,0.96222186
2013-05-29 10:40:50.480,393.43826,0.97505534
2013-05-29 10:40:55.089,393.62048,0.9782113
2013-05-29 10:43:04.156,392.61688,1.0408369
2013-05-29 10:43:08.766,393.36502,1.0587049
2013-05-29 10:43:13.375,393.87778,1.065431
2013-05-29 10:43:17.985,392.11023,1.0277368
2013-05-29 11:54:58.596,397.16495,1.1288567
2013-05-29 11:55:03.205,397.69464,1.0959973
2013-05-29 11:55:07.815,397.65414,1.095907
2013-05-29 11:55:26.252,398.84415,1.3067862
2013-05-29 11:55:30.862,398.62192,1.3009098
2013-05-29 11:55:35.472,397.06354,1.2695127
2013-05-29 11:56:26.176,394.9328,1.3533376
2013-05-29 11:56:30.785,394.1871,1.3272243
2013-05-30 12:26:33.681,396.08514,1.1222255
2013-05-30 12:26:38.290,394.82852,1.107638
2013-05-30 12:26:42.899,395.17847,1.1014134
2013-05-30 12:27:42.822,398.35278,1.5178316
2013-05-30 12:27:47.432,396.00513,1.5211066
2013-05-30 12:27:52.042,398.14984,1.5226924
2013-05-31 10:06:40.401,393.85498,0.8972174
2013-05-31 10:06:45.009,394.6417,0.897461
2013-05-31 10:06:49.620,394.37225,0.9090326
2013-05-31 10:08:17.200,392.50696,1.0131041
2013-05-31 10:08:21.810,393.80646,1.0177218
2013-05-31 10:08:26.419,395.45908,1.0306345
2013-05-31 10:08:31.030,393.3283,0.96057445
2013-05-31 10:08:35.639,393.87012,0.97354895
2013-05-31 10:08:40.249,393.97098,0.9773204
2013-05-31 10:09:49.392,393.27853,0.9529012
2013-05-31 11:21:48.475,396.47583,1.0996319
2013-05-31 11:21:53.082,395.74182,1.0841546
2013-05-31 11:21:57.693,395.9889,1.0816765
2013-05-31 11:22:57.616,399.24908,1.2598408
2013-05-31 11:23:02.227,397.18588,1.2338592
2013-05-31 11:23:06.835,397.2977,1.2281544
2013-06-01 10:38:42.988,394.2114,1.060375
2013-06-01 10:38:47.600,395.65753,1.076275
2013-06-01 10:38:52.207,395.49826,1.0805023
2013-06-01 10:39:10.645,394.52377,0.88560444
